;Subject;ProlificNo;Age;Sex;check.RESP;BlockCondition;RESP_LTM;CRESP_LTM;TypeLTM;TypeSTM;RESP1;RESP2;RESP3;RESP4;RESP5;RESP6;CRESP1;CRESP2;CRESP3;CRESP4;nWords
3870;1709;5ca3e355c0173b001222f915;33;mężczyzna;t;short;kot;krowa;Unrel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3871;1709;5ca3e355c0173b001222f915;33;mężczyzna;t;short;szesciokat;szesciokat;Unrel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3872;1709;5ca3e355c0173b001222f915;33;mężczyzna;t;short;x;gozdzik;Rel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3873;1709;5ca3e355c0173b001222f915;33;mężczyzna;t;short;tata;tata;Unrel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3874;1709;5ca3e355c0173b001222f915;33;mężczyzna;t;short;harpia;saksofon;Unrel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3875;1709;5ca3e355c0173b001222f915;33;mężczyzna;t;short;euro;euro;Unrel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3876;1709;5ca3e355c0173b001222f915;33;mężczyzna;t;short;swierk;swierk;Unrel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3877;1709;5ca3e355c0173b001222f915;33;mężczyzna;t;short;harpia;harpia;Rel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3878;1709;5ca3e355c0173b001222f915;33;mężczyzna;t;short;palec;palec;Rel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3879;1709;5ca3e355c0173b001222f915;33;mężczyzna;t;short;x;pstrag;Rel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3880;1709;5ca3e355c0173b001222f915;33;mężczyzna;t;short;sandaly;sandaly;Rel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3881;1709;5ca3e355c0173b001222f915;33;mężczyzna;t;short;;;;Related;noga;centaur;topaz;ziemniak;NA;NA;noga;centaur;topaz;ziemniak;4
3882;1709;5ca3e355c0173b001222f915;33;mężczyzna;t;short;;;;Unrelated;trapez;tort;wierzba;x;NA;NA;trapez;tort;wierzba;perkusja;4
3883;1709;5ca3e355c0173b001222f915;33;mężczyzna;t;short;;;;Related;baleriny;fladra;x;x;NA;NA;baleriny;fladra;tulipan;soul;4
3884;1709;5ca3e355c0173b001222f915;33;mężczyzna;t;short;;;;Unrelated;cynk;marka;dziadek;slon;NA;NA;cynk;marka;dziadek;slon;4
3885;1709;5ca3e355c0173b001222f915;33;mężczyzna;t;short;dziadek;dziadek;Unrel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3886;1709;5ca3e355c0173b001222f915;33;mężczyzna;t;short;x;ziemniak;Rel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3887;1709;5ca3e355c0173b001222f915;33;mężczyzna;t;short;x;tulipan;Rel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3888;1709;5ca3e355c0173b001222f915;33;mężczyzna;t;short;x;wierzba;Unrel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3889;1709;5ca3e355c0173b001222f915;33;mężczyzna;t;short;baleriny;baleriny;Rel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3890;1709;5ca3e355c0173b001222f915;33;mężczyzna;t;short;marka;marka;Unrel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3891;1709;5ca3e355c0173b001222f915;33;mężczyzna;t;short;fladra;fladra;Rel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3892;1709;5ca3e355c0173b001222f915;33;mężczyzna;t;short;x;perkusja;Unrel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3893;1709;5ca3e355c0173b001222f915;33;mężczyzna;t;short;slon;slon;Unrel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3894;1709;5ca3e355c0173b001222f915;33;mężczyzna;t;short;okrag;trapez;Unrel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3895;1709;5ca3e355c0173b001222f915;33;mężczyzna;t;short;x;topaz;Rel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3896;1709;5ca3e355c0173b001222f915;33;mężczyzna;t;short;braz;cynk;Unrel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3897;1709;5ca3e355c0173b001222f915;33;mężczyzna;t;short;soul;soul;Rel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3898;1709;5ca3e355c0173b001222f915;33;mężczyzna;t;short;noga;noga;Rel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3899;1709;5ca3e355c0173b001222f915;33;mężczyzna;t;short;x;centaur;Rel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
